//-------------------------------------- experiment: 0 , 6000
272481,2155,location,1,1,1
275625,896,location,1,1,1
286785,1752,location,3,2,1
281092,11834,location,3,0,0
290015,3867,location,3,2,1
296083,286,location,2,1,0
294912,7194,location,3,2,1
303985,1019,location,3,0,0
305296,317,location,3,0,0
305967,2472,location,3,0,0
308233,2423,location,3,0,1
311038,1053,location,3,0,0
312408,7505,location,3,0,1
323656,914,location,1,0,0
325005,423,location,1,0,0
//-------------------------------------- experiment: 1 , 2000
340169,327,location,0,1,1
341379,3411,location,0,1,1
351495,1346,location,1,1,1
353866,2971,location,1,1,1
366791,574,location,3,0,0
367583,2828,location,3,0,0
371190,612,location,3,0,0
372785,1666,location,3,0,0
376086,2953,location,3,2,1
379924,588,location,3,2,1
380984,297,location,3,2,1
382224,1003,location,3,2,1
385103,2280,location,3,2,1
388702,703,location,3,2,1
390071,546,location,3,2,1
392100,157,location,2,1,0
//-------------------------------------- experiment: 2 , 4000
402853,2014,location,1,1,1
405729,1702,location,1,1,1
408111,5086,location,1,1,1
414146,152,location,2,1,0
419336,1563,location,0,1,1
421576,5139,location,0,1,1
428201,591,location,0,1,1
433362,4424,location,3,0,1
439134,2323,location,3,0,0
442979,267,location,3,2,0
444086,5730,location,3,2,0
452354,4816,location,3,2,1
