//-------------------------------------- experiment: 0 , 2000
160867,4186,location,1,1,1
170016,6460,location,0,1,1
178476,819,location,1,1,1
180103,522,location,0,1,1
181997,6779,location,1,1,1
191599,4011,location,3,0,0
198740,6776,location,3,2,1
200974,6309,location,3,0,0
//-------------------------------------- experiment: 1 , 4000
225330,4764,location,3,2,1
232867,11234,location,3,0,0
240002,7534,location,3,2,1
250395,2274,location,1,1,1
257352,4052,location,0,1,1
272548,5251,location,0,1,1
//-------------------------------------- experiment: 2 , 6000
290104,7008,location,3,2,1
298363,2561,location,3,0,0
302103,7109,location,3,0,0
302595,8789,location,3,2,1
314592,9021,location,0,1,1
329945,1175,location,0,1,1
326920,7281,location,1,1,1
342810,2941,location,3,0,0
