//-------------------------------------- experiment: 0 , 4000
26369,1535,location,0,1,1
30282,1674,location,1,1,1
30267,3456,location,1,0,1
35473,682,location,1,1,1
39770,1231,location,1,1,1
41107,666,location,1,0,0
44132,623,location,0,1,1
43967,1590,location,1,0,0
47444,853,location,2,2,0
49544,1010,location,2,1,0
45486,6051,location,1,1,1
53183,1095,location,3,0,0
55761,4033,location,3,1,0
54031,6553,location,3,2,1
60819,3282,location,3,0,0
66015,5194,location,1,1,1
76613,1941,location,0,1,1
//-------------------------------------- experiment: 1 , 6000
96485,2643,location,1,0,0
102270,6961,location,1,0,0
112663,7462,location,1,1,1
123674,7049,location,2,2,0
133656,710,location,3,0,0
135087,881,location,3,0,0
136610,7186,location,3,0,0
//-------------------------------------- experiment: 2 , 2000
165862,5205,location,1,0,0
165567,5697,location,1,1,1
174222,2713,location,0,1,1
182528,2298,location,2,1,0
181578,3289,location,1,1,1
187030,2845,location,2,2,0
193891,2718,location,0,1,1
205986,2430,location,0,1,1
216766,3205,location,1,0,0
215006,5377,location,1,1,1
