//-------------------------------------- experiment: 0 , 2000
18995,3647,location,3,0,0
28532,201,location,2,1,0
28145,3193,location,3,0,0
26320,5106,location,3,2,1
36333,6440,location,1,1,1
41485,2891,location,1,0,0
49207,1676,location,1,1,1
53016,1337,location,2,2,0
57836,6012,location,3,2,1
//-------------------------------------- experiment: 1 , 6000
80064,6845,location,3,0,0
89048,1033,location,3,2,1
90902,7187,location,3,2,1
100713,1497,location,3,0,0
103932,6716,location,3,0,1
116478,3886,location,3,0,0
116136,4267,location,3,0,1
125430,6659,location,3,0,0
//-------------------------------------- experiment: 2 , 4000
150001,4751,location,3,0,0
157371,2496,location,3,2,1
160656,4864,location,3,2,1
168901,4783,location,3,0,0
168956,4801,location,3,2,1
177291,5257,location,3,2,1
191194,302,location,0,1,1
193497,4889,location,0,1,1
